frame,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.0,-89.68210085,9.61920372,-180.66524509,0.92610566,0.45113466,-0.60898979,0.77751432,6.26519154,-13.42694325,2.03819365,0.03557319,9.05264939,7.3768161,-7.67371971,4.33134207,-20.26456131,-30.57088064,18.41300247,0.32136752,29.78525569,26.51954461,-7.67371971,-11.58076754,12.21267255,0.90151248,2.8123488,-6.54192037,-19.53205304,29.81172507,101.40996788,1.26255758,-5.08877778,-8.28798428,30.769377,105.10127582
1,0.00833333,-89.69460727,8.89152424,-180.75053711,0.92624628,0.45041206,-0.60833923,0.77509627,5.24939239,-13.0836717,2.0080735,0.03504749,9.22042633,7.8488412,-7.58334961,4.00685162,-19.00145294,-29.93614704,17.55862699,0.30645585,29.12713118,25.26901031,-7.58334961,-11.93491368,11.42091288,0.69212356,2.9609963,-6.47266434,-19.57063652,29.81175414,101.67417883,1.09165301,-5.096459,-9.12098883,31.16336689,105.98563393
2,0.01666667,-89.69165877,8.91602521,-180.5332562,0.92625096,0.44989901,-0.60790244,0.76751413,5.23408982,-13.14023327,1.92698301,0.0336322,9.19488831,7.87173768,-7.55152029,4.22738924,-19.03727058,-29.6825035,17.74216805,0.30965925,29.06341832,25.00704684,-7.55152029,-11.98889484,11.48924937,0.54126362,2.85041308,-6.50378228,-19.65495951,29.91071206,101.46329108,1.02222426,-5.08712718,-9.16889533,31.28598478,105.45553235
3,0.025,-89.68669854,8.86785763,-180.59110437,0.92643406,0.44951419,-0.60786004,0.81361063,5.16400828,-13.10055751,1.96542298,0.0343031,9.18663366,7.91259201,-7.53330314,4.23394304,-18.94105983,-29.63892921,17.73362268,0.3095101,28.99685261,24.83995926,-7.53330314,-12.08644489,11.42598207,0.65266544,2.73347462,-6.54921054,-19.76073079,29.97544665,101.7584804,0.96786432,-5.11886047,-9.0152948,31.2815991,105.88660859
4,0.03333333,-89.68792264,8.92651491,-180.3569342,0.92687638,0.44895905,-0.60782029,0.95797167,5.25929644,-13.74366711,2.11812508,0.03696826,9.08785013,8.04465846,-7.52178037,4.45260346,-19.02550167,-29.30917819,17.31013117,0.30211878,28.28573776,24.82479224,-7.52178037,-12.15135927,11.49194588,0.42107529,2.72543801,-6.49709734,-20.04810963,29.87605252,102.49487024,0.86594736,-5.17847564,-9.30067608,31.34982386,107.01700132
5,0.04166667,-89.66865228,10.04227546,-180.4335803,0.92704611,0.44833576,-0.60885286,1.03768639,6.72835919,-12.76635339,2.97472288,0.05191871,10.76633276,4.6061019,-7.50565883,4.97289487,-20.84942213,-30.44187073,18.53786913,0.32354685,28.59969236,25.93270658,-7.50565883,-12.39047169,12.69237448,0.77910398,2.61649791,-6.7344762,-20.07945333,30.01706035,101.89906865,0.76547669,-5.03390761,-9.26120182,31.50738225,106.32715191
6,0.05,-89.66714585,9.90142744,-180.40251663,0.92721063,0.44796465,-0.60876024,1.25141305,6.52575691,-13.22145642,3.29840271,0.05756799,10.92761874,4.70319234,-7.50435054,4.97315967,-20.60929303,-30.38211517,18.43839875,0.32181077,28.43441654,25.73041331,-7.50435054,-12.45992334,12.53101479,0.65500598,2.59631694,-6.72482801,-20.08709837,29.95478882,101.8431292,0.55851559,-5.12231164,-9.28511338,31.65450764,106.35948141
7,0.05833333,-89.66677248,9.7092866,-180.46445273,0.92737026,0.44768671,-0.60870804,1.27675377,6.29911977,-13.15462816,3.29868857,0.05757298,10.95290796,4.62090194,-7.50199397,4.88715053,-20.27401927,-30.21368292,18.21149334,0.31785052,28.28790445,25.39911942,-7.50199397,-12.53662791,12.31153064,0.68985891,2.49727577,-6.72222303,-20.2015068,29.94752918,101.77198061,0.4375649,-5.17732383,-9.19535366,31.67750339,106.06362545
8,0.06666667,-89.66478733,9.47613711,-180.53196805,0.92754735,0.44729476,-0.60862135,1.35938112,5.9960945,-13.17007207,3.3909914,0.05918396,11.00828719,4.69968631,-7.50129019,4.80080925,-19.88027568,-30.10782277,17.95349006,0.31334751,28.10420625,25.08127255,-7.50129019,-12.63558844,12.04062285,0.72917384,2.42022252,-6.71458938,-20.28484268,29.92916398,101.38124411,0.33972843,-5.27996435,-8.92251603,31.68143168,105.91948575
9,0.075,-89.66230254,9.41194608,-180.45875653,0.92767707,0.4469027,-0.60848381,1.4129005,5.91264588,-13.31407437,3.41930753,0.05967817,10.96694183,4.71841361,-7.50050488,4.85259036,-19.76165352,-29.91706481,17.88033696,0.31207075,27.99051972,24.87924153,-7.50050488,-12.70906837,11.96666262,0.65365548,2.30557476,-6.70978918,-20.45760418,29.935235,101.83150727,0.20940038,-5.31292743,-9.0251899,31.712189,106.15011719
